loan_id,applicant_age,marriage,education,job_tenure_months,monthly_income_cny,company_age_years,industry_l1,scale,region,current_ratio,debt_ratio,roe,revenue_yoy,net_margin,loan_amount_wan,term_months,rate_pct,collateral_type,purpose,credit_score,past_overdue_count_1y,current_overdue_count,guarantee_times_1y,query_times_3m,bank_balance_stddev_3m,large_debit_count_1m,cross_province_count_1m,days_past_due
L001512,40,已婚,硕士,0,37548,5.7,制造业,中型,西北,2.49,0.42,10.24,28.33,24.31,299.05,18,6.98,信用,应收账款融资,828,0,0,0,1,0.16,2,0,0
L001513,42,离异,本科,105,21290,21.4,科学研究,小型,华南,1.32,0.65,7.71,-5.40,9.56,554.43,24,6.30,保证,技术改造,605,1,0,0,2,0.28,1,0,25
L001514,34,已婚,本科,22,40643,,,,西北,,,,,,153.34,18,5.98,保证,装修,872,0,0,1,0,0.12,1,1,0
L001515,62,已婚,本科,51,67423,,,,东北,,,,,,95.29,36,6.87,保证,消费,889,0,0,0,3,0.17,3,0,0
L001516,65,已婚,本科,100,26426,,,,华东,,,,,,122.61,36,5.70,信用,经营周转,784,0,0,0,1,0.07,3,2,0
L001517,39,已婚,高中及以下,0,17197,29.5,交通运输,小型,华东,0.76,0.86,-4.54,-13.27,-4.74,979.17,12,12.24,信用,经营周转,582,1,2,5,11,0.61,9,11,62
L001518,34,已婚,本科,70,14839,23.9,交通运输,大型,东北,2.91,0.20,11.28,10.91,21.71,812.04,30,4.56,抵押,流动资金,889,0,0,1,0,0.14,0,2,0
L001519,33,离异,大专,46,79257,,,,西南,,,,,,34.79,18,4.42,保证,经营周转,873,0,0,0,2,0.08,3,0,0
L001520,59,已婚,大专,28,61169,23.0,住宿餐饮,中型,华东,2.22,0.39,18.17,22.74,8.10,1677.09,48,6.59,信用,设备购置,726,0,0,1,0,0.15,0,2,0
L001521,45,已婚,高中及以下,53,58725,29.2,居民服务,小型,西南,3.49,0.22,15.04,23.56,8.37,660.22,6,4.97,保证,技术改造,757,0,0,1,0,0.12,3,0,0
L001522,53,离异,大专,50,20453,,,,东北,,,,,,212.82,24,6.98,信用,经营周转,647,1,0,3,7,0.20,3,5,30
L001523,52,丧偶,高中及以下,81,26580,,,,西南,,,,,,32.04,9,7.48,信用,流动资金,834,0,0,0,3,0.17,1,0,0
L001524,58,离异,高中及以下,54,37510,,,,华中,,,,,,68.95,60,3.71,保证,消费,752,0,0,1,6,0.18,2,0,0
L001525,63,离异,高中及以下,34,46322,20.1,信息技术,中型,东北,1.68,0.26,23.94,29.12,15.99,823.29,48,4.54,抵押,经营周转,723,1,0,0,3,0.05,0,0,0
L001526,31,离异,高中及以下,11,15528,,,,华南,,,,,,92.30,24,11.76,信用,消费,694,1,0,1,8,0.33,8,4,9
L001527,30,已婚,本科,0,18058,2.7,制造业,大型,华东,0.68,0.67,-4.63,3.22,-1.04,380.32,24,14.91,抵押,应收账款融资,612,3,2,4,11,0.36,12,4,51
L001528,49,未婚,高中及以下,0,65060,,,,华东,,,,,,16.41,24,3.91,保证,装修,826,0,0,1,2,0.08,1,0,0
L001529,53,未婚,本科,115,8138,,,,东北,,,,,,228.58,30,14.75,保证,装修,407,7,3,8,17,0.94,29,5,216
L001530,37,已婚,本科,76,34720,,,,华中,,,,,,134.08,18,5.23,保证,消费,862,0,0,1,5,0.09,2,1,0
L001531,25,已婚,高中及以下,7,13947,,,,西南,,,,,,108.48,36,5.79,保证,消费,739,0,0,1,6,0.09,3,1,0
L001532,31,未婚,大专,37,40177,,,,华东,,,,,,85.66,6,6.46,保证,装修,783,0,0,1,0,0.14,3,2,0
L001533,53,未婚,本科,14,46357,,,,西南,,,,,,134.66,18,3.86,抵押,消费,723,0,0,1,0,0.17,3,0,0
L001534,43,已婚,大专,21,32927,,,,东北,,,,,,144.60,9,7.27,信用,消费,841,0,0,0,1,0.09,0,0,0
L001535,31,已婚,本科,66,11359,,,,东北,,,,,,43.85,60,6.91,保证,装修,633,0,0,2,4,0.27,8,1,0
L001536,43,已婚,本科,117,31708,,,,华北,,,,,,135.99,48,4.40,信用,消费,766,0,0,1,0,0.14,2,0,0
L001537,40,未婚,高中及以下,76,40675,21.8,制造业,大型,华东,3.07,0.23,17.91,7.13,13.45,293.76,36,4.46,抵押,流动资金,889,0,0,1,3,0.14,1,1,0
L001538,40,未婚,本科,124,20278,22.0,制造业,中型,华东,3.31,0.40,21.35,18.09,13.47,1437.36,36,7.26,信用,应收账款融资,895,0,0,0,6,0.09,2,2,0
L001539,35,已婚,高中及以下,82,38546,,,,西北,,,,,,115.24,3,5.56,保证,装修,726,0,0,0,4,0.20,3,2,0
L001540,22,已婚,大专,206,78891,,,,华北,,,,,,150.68,3,3.88,信用,流动资金,719,1,0,1,5,0.14,1,2,0
L001541,22,已婚,本科,98,75919,25.7,金融业,小型,华北,1.70,0.24,16.69,21.69,21.79,1172.84,36,7.47,抵押,设备购置,743,0,0,1,2,0.10,3,1,0
L001542,51,已婚,大专,38,63450,26.6,居民服务,小型,华东,2.99,0.36,8.27,15.27,19.58,1037.49,30,4.35,信用,流动资金,851,0,0,1,4,0.12,2,0,0
L001543,60,已婚,高中及以下,84,22129,15.0,制造业,小型,华东,1.45,0.52,6.87,6.30,0.27,142.65,18,11.27,信用,原材料采购,655,2,0,0,11,0.23,4,0,42
L001544,41,已婚,大专,81,27441,4.8,科学研究,大型,华北,1.62,0.35,13.58,8.36,19.23,145.75,18,5.04,信用,技术改造,736,0,0,1,1,0.17,3,2,0
L001545,42,未婚,本科,198,15107,24.2,教育,小型,华中,3.22,0.53,20.71,11.94,15.40,1907.78,36,6.62,信用,技术改造,815,0,0,1,3,0.13,0,0,0
L001546,48,已婚,硕士,69,3115,1.9,交通运输,中型,西南,0.70,1.24,-20.16,-60.58,-2.26,231.25,9,26.10,抵押,流动资金,430,7,1,7,12,1.18,19,15,171
L001547,44,已婚,高中及以下,68,72041,9.1,建筑业,中型,华东,2.00,0.36,16.98,10.28,20.44,1117.43,18,4.95,抵押,经营周转,822,0,0,0,6,0.09,2,1,0
L001548,24,未婚,大专,58,61170,15.5,制造业,中型,华东,3.09,0.33,11.01,21.45,9.02,1382.57,24,5.91,抵押,流动资金,808,0,0,1,3,0.06,1,2,0
L001549,52,离异,硕士,5,66936,,,,东北,,,,,,29.29,6,6.61,抵押,装修,718,0,0,1,0,0.14,2,1,0
L001550,39,已婚,大专,0,34314,15.4,金融业,小型,西北,2.87,0.23,19.29,10.70,16.64,1568.03,36,6.96,保证,原材料采购,741,0,0,1,0,0.11,2,1,0
L001551,39,离异,高中及以下,0,29811,0.6,租赁商服,小型,华东,1.50,0.74,3.06,0.13,8.82,805.78,9,9.36,信用,经营周转,663,2,0,3,7,0.39,2,5,1
L001552,50,未婚,高中及以下,38,11854,3.8,制造业,小型,华东,1.03,0.49,6.46,1.16,4.42,816.39,30,10.52,保证,流动资金,631,1,1,3,8,0.35,8,1,20
L001553,50,已婚,大专,114,46228,22.7,建筑业,小型,华南,1.55,0.33,19.09,23.34,11.61,1792.99,30,5.44,保证,原材料采购,797,0,0,0,2,0.14,1,0,0
L001554,30,离异,博士,0,61990,11.1,教育,小型,华中,2.06,0.42,21.33,22.30,22.93,709.35,36,4.98,信用,设备购置,728,0,0,1,6,0.12,3,0,0
L001555,63,已婚,本科,129,6973,20.9,采矿业,小型,东北,1.00,0.77,4.99,1.45,4.28,791.33,18,13.76,信用,设备购置,595,5,1,3,10,0.59,15,12,76
L001556,63,丧偶,本科,32,5571,13.0,住宿餐饮,小型,华南,1.36,0.71,5.22,11.88,2.64,213.86,60,11.77,信用,原材料采购,649,2,0,3,2,0.39,5,1,12
L001557,51,未婚,高中及以下,55,79550,,,,华北,,,,,,22.28,6,7.28,保证,经营周转,854,0,0,0,3,0.10,3,1,0
L001558,26,已婚,大专,83,12247,15.5,制造业,小型,华北,0.57,0.83,-11.07,-3.60,1.24,833.59,18,11.67,信用,原材料采购,522,3,2,2,10,0.31,10,11,84
L001559,65,未婚,大专,40,10738,,,,华东,,,,,,256.41,24,14.55,抵押,消费,533,5,2,6,13,0.89,10,17,161
L001560,31,已婚,高中及以下,43,24595,,,,西南,,,,,,152.38,9,5.91,保证,流动资金,724,0,0,1,4,0.10,0,2,0
L001561,65,未婚,博士,106,12497,21.7,制造业,中型,华东,1.36,0.56,8.82,-9.76,9.81,220.35,18,10.10,抵押,技术改造,627,2,0,1,10,0.32,8,2,27
L001562,60,已婚,本科,19,55133,23.3,建筑业,中型,华南,1.79,0.53,20.22,24.06,16.29,1781.60,36,5.78,抵押,经营周转,711,1,0,1,1,0.07,3,2,0
L001563,27,已婚,高中及以下,0,64471,,,,华中,,,,,,174.58,48,4.75,信用,经营周转,811,0,0,1,3,0.09,3,2,0
L001564,22,已婚,高中及以下,129,12972,24.2,制造业,中型,华中,2.41,0.55,11.06,14.11,16.99,289.41,18,6.70,抵押,流动资金,870,0,0,0,0,0.09,2,0,0
L001565,47,已婚,高中及以下,124,42354,,,,华中,,,,,,147.54,30,4.60,抵押,流动资金,869,0,0,0,5,0.10,2,1,0
L001566,60,已婚,大专,0,3531,,,,东北,,,,,,264.30,9,21.92,保证,消费,409,3,1,3,24,0.65,14,12,251
L001567,46,已婚,本科,0,6325,9.7,制造业,大型,东北,1.11,0.63,0.50,-3.08,4.71,110.94,12,11.96,抵押,原材料采购,710,0,0,0,2,0.25,4,4,3
L001568,48,已婚,硕士,0,11451,,,,华中,,,,,,69.30,48,16.37,信用,流动资金,618,1,2,1,14,0.68,13,12,129
L001569,22,离异,高中及以下,23,62512,26.4,租赁商服,中型,华南,2.33,0.24,20.39,17.30,22.50,1771.64,18,5.49,保证,流动资金,783,0,0,1,3,0.07,3,1,0
L001570,53,已婚,高中及以下,153,43417,,,,华北,,,,,,171.55,12,4.55,信用,消费,797,0,0,0,0,0.14,2,1,0
L001571,55,未婚,本科,70,17015,20.2,住宿餐饮,大型,华东,0.99,0.79,-9.96,-8.39,4.91,90.85,3,13.29,保证,经营周转,517,5,1,2,16,0.46,14,2,40
L001572,49,未婚,本科,45,7129,,,,华南,,,,,,149.64,18,14.77,保证,流动资金,556,4,2,5,6,0.48,4,2,78
L001573,53,已婚,高中及以下,87,62559,22.4,科学研究,小型,华东,2.40,0.37,12.26,17.67,24.56,788.92,36,6.00,信用,技术改造,764,0,0,1,6,0.06,0,0,0
L001574,59,离异,高中及以下,11,8768,24.0,制造业,小型,华中,3.40,0.46,18.58,18.37,11.34,1912.10,24,6.64,抵押,经营周转,876,0,0,0,6,0.17,1,1,0
L001575,47,未婚,本科,122,14523,,,,华中,,,,,,41.38,18,3.74,抵押,消费,711,0,0,1,6,0.09,3,2,0
L001576,32,未婚,本科,55,10070,,,,华东,,,,,,32.75,48,14.95,信用,消费,519,3,1,6,5,0.62,10,12,56
L001577,56,离异,本科,58,79055,11.1,采矿业,小型,华东,2.48,0.52,21.76,20.47,11.02,1758.87,36,7.48,信用,技术改造,719,0,0,1,1,0.20,3,1,0
L001578,40,离异,本科,10,78721,13.4,批发零售,小型,华中,2.07,0.54,24.36,26.29,20.84,1601.13,3,6.53,抵押,流动资金,818,0,0,1,0,0.17,1,2,0
L001579,24,已婚,大专,81,9653,,,,西南,,,,,,96.12,36,17.82,保证,经营周转,591,4,0,6,13,0.54,14,9,83
L001580,45,已婚,高中及以下,29,57365,10.0,住宿餐饮,小型,西南,3.21,0.51,17.27,28.77,23.56,723.97,36,5.53,抵押,原材料采购,703,0,0,0,1,0.18,3,1,0
L001581,42,已婚,高中及以下,15,33972,11.4,制造业,小型,华南,1.81,0.36,9.56,15.94,16.67,1377.72,48,3.55,保证,设备购置,830,0,0,1,6,0.05,1,1,5
L001582,28,已婚,硕士,0,28408,8.1,金融业,大型,华东,1.43,0.57,3.97,4.51,9.14,252.20,36,8.84,信用,设备购置,667,2,0,0,10,0.16,2,2,13
L001583,58,离异,本科,74,11487,,,,西北,,,,,,79.72,3,5.26,抵押,消费,849,0,0,0,4,0.12,1,0,0
L001584,36,离异,大专,90,28675,,,,华东,,,,,,66.52,48,6.21,抵押,经营周转,857,0,0,1,4,0.20,0,2,0
L001585,56,未婚,博士,102,5792,,,,华中,,,,,,293.95,36,21.71,保证,流动资金,502,7,2,8,27,1.03,19,6,211
L001586,36,未婚,大专,35,12106,,,,华东,,,,,,177.45,6,18.54,保证,装修,382,6,1,6,14,1.07,14,12,124
L001587,24,离异,本科,0,41415,,,,华北,,,,,,106.19,30,4.31,保证,经营周转,762,0,0,1,3,0.11,2,1,0
L001588,51,已婚,大专,112,14918,9.2,建筑业,中型,华北,0.53,0.91,-15.38,-48.31,-26.87,932.48,30,25.75,保证,经营周转,364,11,3,4,16,0.63,9,23,268
L001589,65,离异,高中及以下,108,11380,,,,西南,,,,,,41.05,9,5.01,保证,消费,717,0,0,1,0,0.05,3,2,0
L001590,50,已婚,高中及以下,28,18940,,,,华北,,,,,,90.36,36,9.28,信用,经营周转,676,0,0,2,3,0.32,8,4,17
L001591,46,离异,大专,57,3718,,,,华东,,,,,,35.02,60,14.41,信用,流动资金,361,7,3,5,16,0.68,18,22,131
L001592,53,未婚,高中及以下,33,15094,,,,华北,,,,,,64.30,48,15.65,信用,流动资金,573,4,2,6,9,0.39,4,10,57
L001593,56,离异,高中及以下,23,22860,,,,华南,,,,,,62.62,48,10.01,保证,装修,667,1,0,2,3,0.23,6,3,20
L001594,36,未婚,高中及以下,20,21232,,,,华中,,,,,,131.42,9,10.95,信用,流动资金,632,0,0,0,9,0.39,3,3,23
L001595,29,未婚,本科,16,10552,9.8,批发零售,中型,华中,0.62,0.77,0.76,-15.93,-7.38,219.72,30,11.30,信用,技术改造,501,1,1,4,12,0.42,10,4,48
L001596,36,未婚,本科,56,45844,,,,西北,,,,,,127.07,60,6.17,保证,流动资金,725,0,0,1,0,0.08,1,1,0
L001597,25,已婚,大专,0,11730,,,,东北,,,,,,48.15,12,6.32,信用,装修,808,0,0,1,1,0.13,3,0,0
L001598,48,离异,本科,61,53842,,,,华东,,,,,,161.88,3,5.77,信用,消费,701,0,0,0,0,0.16,1,1,0
L001599,37,已婚,高中及以下,135,69503,22.2,建筑业,小型,华东,3.02,0.44,21.67,5.11,18.99,443.71,24,6.16,保证,经营周转,870,0,0,1,2,0.10,2,2,0
L001600,47,未婚,高中及以下,0,61962,,,,华东,,,,,,111.12,12,6.96,信用,消费,750,0,0,0,1,0.07,3,1,0
L001601,48,离异,高中及以下,35,8558,10.5,金融业,中型,华中,1.01,0.67,-8.60,-23.26,-2.51,515.83,36,10.65,保证,设备购置,518,3,0,1,11,0.41,6,9,75
L001602,58,离异,高中及以下,120,26743,10.7,批发零售,大型,华东,3.43,0.46,22.29,9.12,11.88,1631.06,9,6.41,抵押,应收账款融资,883,0,0,1,2,0.10,3,1,0
L001603,36,未婚,硕士,24,11149,28.5,金融业,中型,华北,0.67,1.42,-47.31,-0.23,-3.06,1426.02,12,24.07,信用,技术改造,476,10,3,6,19,0.95,17,12,156
L001604,24,未婚,大专,36,28993,,,,西北,,,,,,126.59,6,3.76,保证,装修,726,0,0,0,3,0.12,0,0,0
L001605,55,未婚,高中及以下,25,49254,23.1,房地产,中型,华东,1.96,0.44,13.96,14.47,24.34,1336.25,36,4.65,信用,原材料采购,829,0,0,1,6,0.06,1,1,0
L001606,59,已婚,大专,15,7437,,,,西北,,,,,,168.86,24,16.86,保证,流动资金,565,1,1,6,8,0.33,15,5,75
L001607,31,已婚,本科,93,24204,15.4,制造业,小型,西北,1.58,0.47,0.70,11.39,4.44,640.63,60,6.12,保证,设备购置,666,0,0,0,3,0.20,5,5,7
L001608,22,离异,大专,78,45819,15.0,建筑业,中型,华南,3.08,0.50,12.11,20.11,16.79,1039.80,18,5.98,保证,设备购置,765,0,0,0,1,0.11,3,0,0
L001609,65,已婚,大专,0,18189,,,,华东,,,,,,62.19,60,14.84,抵押,经营周转,538,3,1,3,6,0.65,13,10,69
L001610,36,已婚,高中及以下,162,29400,28.3,制造业,中型,华北,1.09,0.55,5.94,12.42,8.80,635.45,12,11.16,保证,应收账款融资,661,1,1,3,3,0.24,6,5,4
L001611,58,已婚,本科,0,17827,,,,华北,,,,,,234.01,18,17.54,抵押,消费,600,1,0,4,13,0.47,14,11,81
L001612,35,已婚,大专,44,53626,20.7,租赁商服,大型,东北,2.50,0.44,21.49,24.37,11.04,1830.57,30,4.77,抵押,应收账款融资,879,0,0,0,3,0.18,3,2,0
L001613,50,未婚,本科,33,26078,24.4,居民服务,小型,华中,2.63,0.43,13.36,21.96,24.51,1543.53,18,6.03,保证,经营周转,752,0,0,0,6,0.15,3,1,0
L001614,64,未婚,大专,127,3066,,,,华北,,,,,,106.34,6,18.89,保证,消费,533,5,2,9,12,1.09,22,12,205
L001615,39,离异,大专,0,52585,,,,西南,,,,,,148.36,12,7.37,信用,消费,815,0,0,0,3,0.10,0,1,0
L001616,46,未婚,大专,107,38186,,,,华中,,,,,,156.25,48,6.48,信用,装修,896,0,0,0,3,0.15,2,1,0
L001617,23,未婚,本科,81,52060,,,,华南,,,,,,175.77,18,3.97,信用,消费,721,0,0,1,0,0.11,2,2,0
L001618,35,未婚,本科,90,6221,,,,华中,,,,,,286.02,12,15.08,信用,装修,606,3,0,4,8,0.63,4,7,34
L001619,47,已婚,大专,78,11084,,,,华南,,,,,,31.70,12,15.26,保证,流动资金,548,1,1,1,12,0.34,4,8,58
L001620,25,未婚,高中及以下,155,15504,4.9,住宿餐饮,大型,华东,1.09,0.62,9.01,3.53,3.11,495.64,60,9.05,保证,原材料采购,673,1,1,3,2,0.29,7,5,15
L001621,33,离异,高中及以下,143,49031,27.0,批发零售,中型,华北,2.68,0.32,9.97,29.86,22.48,1623.54,12,6.93,信用,流动资金,835,0,0,1,1,0.12,2,2,0
L001622,33,离异,本科,0,37211,19.5,房地产,中型,西北,1.74,0.28,9.36,24.80,8.95,629.25,18,6.14,保证,经营周转,887,0,0,0,2,0.05,1,2,0
L001623,28,未婚,高中及以下,64,65839,,,,华东,,,,,,181.51,24,5.23,抵押,经营周转,721,0,0,0,5,0.17,0,1,0
L001624,57,未婚,高中及以下,150,70306,,,,华中,,,,,,23.80,36,5.24,信用,消费,716,0,0,0,4,0.09,1,1,0
L001625,41,离异,大专,0,35989,,,,华东,,,,,,154.26,36,4.61,信用,流动资金,873,0,0,1,6,0.19,0,1,0
L001626,61,未婚,大专,0,57259,,,,西北,,,,,,71.24,24,7.49,抵押,消费,707,0,0,1,4,0.07,0,1,0
L001627,31,未婚,大专,22,27005,,,,西北,,,,,,125.90,24,6.96,信用,装修,833,0,0,0,3,0.10,3,0,1
L001628,50,离异,大专,18,62704,10.2,批发零售,中型,华东,2.35,0.26,18.49,23.59,20.60,601.45,24,5.65,抵押,设备购置,702,0,0,1,1,0.08,1,0,0
L001629,45,离异,高中及以下,0,34100,29.3,制造业,大型,华南,2.44,0.20,20.89,20.24,12.12,979.41,48,4.10,信用,设备购置,865,0,0,1,3,0.14,0,2,0
L001630,49,已婚,高中及以下,0,22204,,,,华东,,,,,,13.61,24,6.93,抵押,经营周转,724,0,0,1,6,0.16,3,1,0
L001631,46,已婚,本科,0,49510,,,,东北,,,,,,152.34,12,7.01,抵押,经营周转,900,0,0,1,0,0.12,1,2,0
L001632,48,已婚,高中及以下,48,11480,,,,华东,,,,,,131.50,12,14.89,保证,装修,447,3,3,2,21,0.75,12,9,148
L001633,56,未婚,本科,73,10909,,,,华北,,,,,,183.18,12,9.15,信用,经营周转,627,1,0,2,9,0.27,6,3,6
L001634,61,已婚,本科,116,40608,,,,西南,,,,,,170.56,30,6.67,保证,经营周转,889,0,0,0,5,0.17,1,2,0
L001635,48,离异,本科,68,48735,4.1,建筑业,小型,西南,2.62,0.51,14.39,27.90,15.35,1225.98,36,5.90,抵押,流动资金,798,0,0,0,1,0.05,1,1,6
L001636,46,已婚,本科,34,11498,15.1,居民服务,中型,华南,0.67,0.88,-2.32,-17.39,-1.02,668.77,30,17.30,抵押,流动资金,592,2,2,2,6,0.45,13,10,55
L001637,55,已婚,本科,82,19895,28.8,租赁商服,小型,华东,1.46,0.59,0.35,6.25,9.82,679.23,9,7.26,信用,设备购置,627,1,0,0,12,0.39,7,0,27
L001638,59,已婚,本科,60,11947,15.6,批发零售,小型,华南,3.04,0.54,17.69,17.21,24.30,814.02,24,4.21,保证,经营周转,882,0,0,1,6,0.11,1,0,0
L001639,29,已婚,大专,20,35910,,,,华东,,,,,,34.92,6,3.79,保证,流动资金,891,0,0,1,1,0.14,1,0,0
L001640,56,已婚,本科,23,9740,25.8,制造业,小型,华东,3.23,0.26,14.74,18.83,17.63,118.40,12,7.24,抵押,流动资金,762,0,0,1,6,0.10,0,0,0
L001641,63,已婚,高中及以下,47,5747,26.7,科学研究,小型,华北,1.34,0.45,10.39,8.89,3.88,418.14,36,10.90,抵押,技术改造,641,0,0,3,12,0.19,4,4,29
L001642,35,未婚,本科,64,33259,6.6,制造业,大型,华东,2.92,0.35,13.53,6.71,13.31,1683.72,3,5.44,抵押,原材料采购,890,0,0,0,5,0.16,0,1,0
L001643,34,已婚,本科,0,16582,,,,华南,,,,,,15.03,18,12.70,保证,流动资金,512,2,0,6,7,0.31,10,9,46
L001644,28,未婚,本科,0,9399,24.0,批发零售,小型,华东,2.86,0.37,8.74,22.83,15.32,558.22,12,4.95,信用,流动资金,798,0,0,1,3,0.09,1,2,0
L001645,40,未婚,高中及以下,0,73869,,,,华东,,,,,,50.59,12,7.41,抵押,消费,794,0,0,1,4,0.16,2,1,0
L001646,59,离异,大专,58,73059,,,,华北,,,,,,77.32,12,3.88,保证,装修,824,0,0,0,3,0.20,0,2,0
L001647,22,已婚,高中及以下,128,29476,,,,华东,,,,,,23.51,9,7.36,保证,经营周转,680,1,0,3,7,0.26,8,1,10
L001648,43,已婚,本科,0,14083,,,,华南,,,,,,19.37,12,6.30,保证,消费,690,2,1,0,12,0.38,8,2,49
L001649,38,已婚,大专,144,9785,5.2,批发零售,中型,华北,1.73,0.45,19.31,16.05,10.56,476.41,9,3.95,抵押,技术改造,780,0,0,1,1,0.17,1,2,0
L001650,27,已婚,高中及以下,80,21443,17.5,批发零售,小型,华东,2.24,0.44,9.64,11.18,24.62,1266.71,36,4.57,抵押,流动资金,782,0,0,0,5,0.15,1,1,0
L001651,49,未婚,硕士,38,25304,28.3,批发零售,小型,西南,1.22,0.76,5.75,-3.51,5.55,387.82,3,9.33,信用,流动资金,708,2,1,0,2,0.34,3,4,3
L001652,59,离异,大专,69,7995,,,,华东,,,,,,113.14,12,7.51,保证,装修,720,1,0,1,7,0.27,1,4,11
L001653,29,离异,大专,68,33120,6.6,住宿餐饮,大型,华北,1.59,0.50,11.31,29.27,16.31,1790.16,36,4.40,抵押,经营周转,872,0,0,1,2,0.17,0,2,0
L001654,26,未婚,大专,49,60880,25.4,科学研究,小型,华南,1.57,0.32,16.25,29.29,20.91,761.86,12,6.90,保证,流动资金,810,0,0,1,6,0.11,1,2,0
L001655,45,已婚,大专,16,52995,5.8,建筑业,小型,华北,2.45,0.26,12.50,10.71,20.85,462.24,60,3.82,保证,流动资金,811,0,0,1,1,0.07,2,2,0
L001656,50,已婚,本科,161,24608,23.5,建筑业,中型,西北,2.59,0.42,20.73,5.83,14.02,1469.86,3,5.38,抵押,应收账款融资,727,1,0,0,5,0.09,1,0,0
L001657,24,已婚,硕士,21,8239,25.9,建筑业,小型,华东,0.77,0.85,-6.72,-27.71,1.11,322.60,18,10.20,抵押,技术改造,530,4,1,6,15,0.39,7,10,87
L001658,50,离异,硕士,53,6605,12.2,信息技术,小型,华东,1.21,0.53,7.65,-9.53,5.45,664.77,48,7.34,抵押,流动资金,644,1,0,2,7,0.38,7,2,22
L001659,38,离异,大专,0,56311,,,,华南,,,,,,190.12,36,5.72,信用,流动资金,726,0,0,1,0,0.13,0,2,0
L001660,38,未婚,本科,2,45172,,,,华东,,,,,,183.07,36,6.45,保证,消费,708,1,0,0,6,0.17,1,0,0
L001661,40,已婚,高中及以下,82,48382,16.9,制造业,中型,西北,3.35,0.37,10.24,22.47,18.81,1638.68,12,5.73,保证,设备购置,898,0,0,0,2,0.14,0,1,0
L001662,48,已婚,高中及以下,112,44263,,,,华东,,,,,,147.93,30,5.11,抵押,流动资金,836,0,0,0,0,0.08,3,0,0
L001663,37,未婚,大专,29,9128,18.5,制造业,中型,华东,0.46,1.26,-38.84,-19.45,-28.26,923.00,6,25.02,保证,经营周转,455,7,3,10,12,0.50,30,5,58
L001664,33,已婚,高中及以下,52,29636,3.4,租赁商服,小型,华北,3.10,0.44,21.40,23.81,11.93,198.77,30,5.71,抵押,经营周转,781,0,0,1,4,0.13,1,0,0
L001665,40,已婚,博士,82,79079,,,,华东,,,,,,89.77,12,4.73,抵押,装修,770,0,0,0,6,0.07,0,1,0
L001666,51,离异,高中及以下,40,37953,,,,西南,,,,,,126.13,24,6.06,信用,流动资金,842,0,0,0,3,0.19,1,1,0
L001667,63,已婚,本科,0,14645,25.1,批发零售,中型,华北,1.00,0.83,-7.93,-18.01,-3.21,728.75,48,14.50,保证,原材料采购,546,4,1,1,16,0.47,12,6,123
L001668,61,离异,大专,104,28307,10.1,制造业,中型,华南,2.28,0.42,10.64,29.65,21.80,428.81,36,5.72,信用,技术改造,874,0,0,1,2,0.10,1,0,0
L001669,54,丧偶,本科,94,11386,,,,华中,,,,,,139.56,60,11.63,保证,流动资金,656,2,1,1,4,0.30,1,1,28
L001670,35,未婚,高中及以下,66,52818,,,,华东,,,,,,138.49,36,4.66,保证,消费,898,0,0,1,0,0.18,1,2,0
L001671,31,未婚,硕士,30,14549,23.6,批发零售,中型,西南,0.72,0.76,-10.80,-4.90,1.45,846.20,12,10.05,抵押,技术改造,546,3,1,4,9,0.51,7,12,83
L001672,47,已婚,本科,0,29116,,,,华中,,,,,,81.55,36,3.87,抵押,装修,872,0,0,1,1,0.20,3,1,0
L001673,47,未婚,大专,91,9516,,,,华东,,,,,,70.39,60,6.94,保证,流动资金,649,2,1,2,9,0.23,6,2,13
L001674,28,已婚,高中及以下,140,15475,,,,华东,,,,,,102.15,24,6.63,信用,流动资金,700,2,0,3,7,0.28,1,2,19
L001675,23,未婚,本科,27,4657,,,,华东,,,,,,240.46,9,12.64,保证,消费,578,1,0,2,15,0.60,13,5,61
L001676,63,已婚,大专,175,40165,6.3,租赁商服,中型,华北,2.24,0.54,8.89,7.48,14.78,965.32,48,5.92,信用,应收账款融资,900,0,0,1,1,0.19,0,1,0
L001677,48,已婚,高中及以下,0,66252,18.3,批发零售,中型,华东,3.35,0.39,18.62,22.19,23.34,486.42,60,4.05,信用,技术改造,733,0,0,1,3,0.08,0,2,0
L001678,60,丧偶,大专,102,70756,14.6,建筑业,小型,华北,1.66,0.53,10.08,22.32,13.50,172.52,36,4.64,抵押,原材料采购,872,0,0,1,2,0.16,3,2,0
L001679,31,已婚,大专,101,41124,16.7,批发零售,小型,华中,2.14,0.23,18.43,20.27,23.84,825.48,12,5.68,信用,流动资金,817,0,0,0,2,0.10,2,2,0
L001680,53,已婚,高中及以下,76,59809,,,,华南,,,,,,30.20,36,4.36,信用,装修,855,0,0,0,4,0.15,2,2,4
L001681,52,已婚,大专,0,11817,12.6,建筑业,小型,东北,0.41,1.22,-39.62,-37.27,-22.75,1419.99,12,15.82,保证,经营周转,506,10,3,6,22,1.07,10,20,129
L001682,36,已婚,高中及以下,104,76793,8.1,信息技术,小型,华东,1.71,0.24,15.91,9.26,23.39,1339.08,60,4.21,保证,设备购置,801,0,0,1,4,0.12,0,1,0
L001683,46,已婚,高中及以下,22,13713,1.6,制造业,小型,华中,0.66,0.68,3.12,-25.34,-5.49,952.12,36,17.42,保证,原材料采购,501,1,2,5,7,0.63,9,5,48
